Algorithm,Optimal Route,Cost,Running Time (sec)
BFS,"[1, 3, 5, 8, 11]",69.656378,0.0017070770263671875
DFS,"[1, 3, 5, 7, 9, 11]",57.967164,0.0016672611236572266
