Population Size,Mutation Rate,Mean,Min,Max,Standard Deviation,Running Time (s)
100,0.01,4145.017008085773,4145.017008085773,5597.933911058993,0.0,0.13
100,0.1,4167.272396827876,4167.272396827876,5502.818600680324,0.0,0.17
500,0.01,4044.4580401741605,4044.4580401741605,5702.4546693146285,0.0,0.75
500,0.1,4126.001047673291,4126.001047673291,5572.843140535112,0.0,0.87
